MEIC,output species,CEDS,weight,partition,if VOC,groups,MIR
ETHA,C2H6,VOC02-ethane,30.0,1.0,Y,alkenes,0.14
ALK2,C3H8,VOC03-propane,44.0,1.0,Y,alkanes,0.25
ALK3,BIGALK1,VOC04-butanes,58.0,1.0,Y,alkanes,0.75
ALK4,BIGALK2,VOC05-pentanes,72.0,1.0,Y,alkanes,0.87
ALK5,BIGALK3,VOC06-hexanes-pl,86.0,1.0,Y,alkanes,0.62
ETH,C2H4,VOC07-ethene,28.0,1.0,Y,alkenes,4.71
HC3,C3H6,VOC08-propene,40.0,1.0,Y,NAN,6.68
TERP,C10H16,VOC22-other-alka,136.0,0.1,Y,alkynes,3.75
IOLE,BIGENE,VOC09-ethyne,26.0,1.0,Y,alkenes,12.64
ISOP,ISOP,VOC22-other-alka,68.0,0.02,Y,alkynes,7.89
TOL,TOLUENE,VOC14-toluene,92.0,1.0,Y,aromatics,2.12
XYL,XYLENE,VOC15-xylene,106.0,1.0,Y,aromatics,4.17
ETOH,C2H5OH,VOC01-alcohols,46.0,0.85,Y,OVOCs,0.66
MEOH,CH3OH,VOC01-alcohols,32.0,0.15,Y,OVOCs,0.38
MEK,MEK,VOC23-ketones,64.0,0.78,Y,OVOCs,1.18
MVK,MVK,VOC23-ketones,70.0,0.02,Y,OVOCs,1.18
ACET,CH3COCH3,VOC23-ketones,58.0,0.2,Y,OVOCs,0.22
FORM,CH2O,VOC23-ketones,58.0,0.0,Y,OVOCs,6.71
ALD2,CH3CHO,VOC23-ketones,58.0,0.0,Y,OVOCs,4.71
MGLY,MGLY,VOC23-ketones,58.0,0.0,Y,OVOCs,16.0
NOx,NOx,NOx,1.0,1.0,N,NAN,
CO,CO,CO,1.0,1.0,N,NAN,
SO2,SO2,SO2,1.0,1.0,N,NAN,
NH3,NH3,NH3,1.0,1.0,N,NAN,
PM25,PM25,BC,1.0,0.0,N,NAN,
PMcoarse,PMcoarse,BC,1.0,0.0,N,NAN,
BC,BC,BC,1.0,1.0,N,NAN,
OC,OC,OC,1.0,1.0,N,NAN,
NMVOC,NMVOC,NMVOC,1.0,1.0,N,NaN,
