SPECIE NAME,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN
Ethane,3.3,0.26,0.21,0.26,0.22,0.0,4.08,4.6,0.2,0.18,0.03,0.0,0.0,0.24,0.0,0.38,0.02,0.0,0.44,0.68,0.31,0.26,7.51,16.96,4.57,9.43,9.88,0.0,0.0,4.64,0.2,0.0,0.1,0.0,0.0,0.37,0.1,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.78,17.45,0.01,0.2,0.0,9.52,7.38,13.95,14.27,5.4,4.99,5.69,3.61,3.01,0.21,6.23,3.06,10.28,5.54,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.23,0.95,0.23,0.0,0.0,0.0,0.0
Propane,0.34,0.75,0.99,0.51,0.52,0.0,62.55,1.36,0.08,0.21,0.76,0.08,0.17,1.47,0.04,1.59,0.09,0.69,9.55,3.99,4.97,1.87,0.94,6.44,0.4,2.59,0.52,0.0,3.63,2.56,0.1,0.0,0.0,0.09,0.06,0.24,0.0,2.18,0.25,0.05,0.11,0.04,0.04,0.09,0.11,0.02,0.12,0.07,1.83,0.0,3.92,9.43,0.09,0.15,2.5,19.92,17.11,31.02,21.95,4.18,8.74,18.58,15.8,5.19,8.51,6.24,5.91,4.44,4.5,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.13,0.68,1.13,0.0,0.0,0.0,0.0
i-Butane,0.49,0.01,0.06,0.18,0.08,0.95,0.13,1.89,0.0,0.0,0.0,0.0,1.14,6.79,0.5,4.99,0.49,1.51,8.93,8.93,7.67,8.73,0.66,0.0,0.02,0.53,0.03,0.0,0.42,1.48,0.1,0.02,0.0,0.07,0.09,0.07,0.1,0.5,0.33,0.03,0.09,0.03,0.04,0.32,0.1,0.01,0.25,0.37,1.44,0.33,3.93,0.7,0.0,0.36,0.51,9.22,2.76,22.16,9.14,5.11,4.19,5.45,4.23,5.02,0.03,0.65,4.63,26.41,1.1,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0
n-Butane,1.15,0.01,0.05,0.19,0.07,1.58,0.0,1.29,0.0,0.0,0.0,0.0,1.93,15.33,0.85,11.7,1.99,3.29,8.36,9.77,6.61,7.23,0.34,0.61,0.05,0.75,0.06,0.38,0.16,1.48,0.1,0.09,0.0,0.1,0.1,0.04,0.1,0.3,0.5,0.03,0.17,0.04,0.04,0.29,0.09,0.01,0.44,0.69,1.28,0.73,4.08,7.62,0.0,0.28,2.01,7.81,8.77,12.36,4.67,12.96,5.23,10.32,3.91,3.71,0.06,1.25,2.59,8.15,4.23,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,0.38,0.28,1.62,0.49,1.87,0.0,0.3
Cyclopentane,0.2,0.01,0.05,0.04,0.02,1.29,0.0,0.04,0.0,0.0,0.38,0.26,0.39,0.54,0.74,0.51,0.43,0.0,0.3,0.84,0.35,1.15,0.04,0.0,0.0,0.0,0.0,0.0,0.01,0.59,0.0,0.0,0.0,0.01,0.01,0.01,0.1,0.2,0.13,0.01,0.38,0.05,0.01,0.58,0.01,0.0,0.02,0.53,0.03,0.17,1.26,0.0,0.0,0.01,0.2,0.62,0.87,0.1,0.18,0.56,0.42,0.83,1.43,0.3,0.0,0.03,2.76,0.2,0.08,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.31,0.67,0.0,0.69
i-Pentane,6.38,0.8,2.4,0.18,0.14,9.76,0.0,1.18,7.14,3.68,0.0,0.0,8.39,24.93,5.64,34.7,13.51,1.68,11.86,9.51,12.13,9.66,0.6,1.07,0.01,0.34,0.01,0.0,2.15,2.07,0.1,0.04,0.0,0.17,0.21,0.41,0.3,0.2,0.16,0.05,0.3,0.04,0.0,0.62,0.2,0.01,0.08,2.71,3.52,1.37,11.72,0.2,0.0,5.18,0.53,3.44,5.44,3.17,2.19,7.28,2.24,3.27,2.2,2.02,0.02,0.34,1.56,1.59,0.89,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.79,3.52,0.51,2.68,6.1,0.31,5.39
n-Pentane,1.11,0.01,0.03,0.16,0.06,3.2,0.06,0.27,4.26,2.34,3.61,2.06,2.47,11.84,3.92,6.59,3.88,4.84,6.42,8.2,4.72,5.86,0.33,1.34,0.01,0.33,0.01,0.43,3.71,0.49,0.0,0.03,0.0,0.09,0.11,0.08,0.2,0.5,0.2,0.0,0.42,0.03,0.03,0.69,0.0,0.0,0.04,2.61,0.49,0.32,2.99,13.14,0.0,2.36,1.35,3.35,7.15,1.76,1.01,8.66,2.32,6.43,1.12,0.89,0.01,0.18,0.84,0.83,2.97,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.06,0.0,0.29,1.28,2.75,0.51,1.97
Methylcyclopentane,0.6,0.01,0.04,0.08,0.05,1.88,0.02,0.02,1.09,1.44,1.05,1.22,1.64,0.0,1.84,1.68,0.57,0.0,1.31,1.84,1.85,1.84,0.1,0.26,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.07,0.0,0.07,0.13,0.01,0.1,0.3,0.29,0.0,0.66,0.05,0.34,3.95,0.13,0.02,0.1,1.58,1.43,0.15,4.31,0.2,0.0,0.01,0.0,0.74,1.13,0.21,1.0,1.81,0.32,1.25,0.54,0.23,0.0,0.04,0.95,0.11,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.16,0.0,0.11,0.7,0.46,0.0,0.05
Cyclohexane,0.8,0.01,0.03,0.04,0.03,0.9,0.0,0.0,0.04,0.0,0.21,0.19,0.14,0.24,0.25,0.14,0.33,1.35,0.32,0.34,0.26,0.32,0.09,0.13,0.0,0.0,0.0,0.0,0.17,0.79,0.0,0.03,0.1,0.03,0.04,0.01,0.0,0.3,1.25,0.0,0.28,0.04,5.45,3.45,0.04,0.07,0.09,0.65,0.11,0.17,1.14,0.0,0.0,0.01,3.47,0.23,0.28,0.1,0.2,1.39,0.3,0.43,0.47,0.31,0.0,0.02,0.36,0.52,0.12,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,2.14,0.14,1.03,0.52,0.35,0.2,0.22
"2,2-Dimethylbutane",0.02,0.01,0.07,0.02,0.01,1.5,0.01,0.0,0.0,0.0,0.48,0.33,0.08,0.32,0.96,0.21,0.16,0.75,0.93,1.67,0.92,1.06,0.02,0.0,0.04,0.0,0.06,0.0,0.31,0.3,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.0,0.3,0.0,0.46,0.0,0.0,0.09,0.0,0.0,0.0,0.17,0.0,0.01,0.15,0.0,0.01,0.01,0.17,0.15,0.05,0.04,0.65,0.22,0.09,0.15,0.05,0.07,0.0,0.04,0.04,0.04,0.04,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.23,0.49,0.0,0.5
