,VOCs species,VOC numbers,HTAP voc,voc mwt,ratio,MIR,link_to-mapper
0,C2H5OH,voc1,alcohols,34.92,0.85,0.66,C2H5OH
1,CH3OH,voc1,alcohols,34.92,0.15,0.38,CH3OH
2,C2H6,voc2,ethane,12.3,1.0,0.14,C2H6
3,C3H8,voc3,propane,22.12,1.0,0.25,C3H8
4,BIGALK1,voc4,butanes,36.54,1.0,0.75,BIGALK1
5,BIGALK2,voc5,pentanes,39.54,1.0,0.87,BIGALK2
6,BIGALK3,voc6,hexanes,44.15,1.0,0.62,BIGALK3
7,C2H4,voc7,ethene,100.0,1.0,4.71,C2H4
8,C3H6,voc8,propene,97.89,1.0,6.68,C3H6
9,C2H2,voc9,acetylene,8.5,1.0,0.2,C2H2
10,ISOP,voc10,isoprenes,109.2,1.0,7.89,ISOP
11,TERP,voc11,monoterprene,109.2,1.0,3.75,C10H16
12,BIGENE,voc12,olefines,95.29,1.0,12.64,BIGENE
13,BENZENE,voc13,benzene,21.98,1.0,0.38,BENZENE
14,TOLUENE,voc14,toluene,63.7,1.0,2.12,TOLUENE
15,XYLENE,voc15,xylenes,107.41,1.0,4.17,XYLENE
16,C5H3(CH3)3,voc16,trimethylbenzenes,129.86,1.0,9.54,C5H3(CH3)3
17,CH3Cl,voc20,chl_carbon,23.72,1.0,0.03,CH3Cl
18,CH2O,voc21,formaldehyde,51.9,1.0,6.71,CH2O
19,CH3CHO,voc22,aldehydes,64.1,1.0,4.71,CH3CHO
20,MEK,voc23,ketones,24.54,0.78,1.18,MEK
21,MVK,voc23,ketones,24.54,0.02,1.18,MVK
22,ACET,voc23,ketones,24.54,0.2,0.22,CH3COCH3
23,MGLY,voc23,ketones,24.54,0.0,16.0,MGLY
24,NOx,,NOx,,,,NOx
25,CO,,CO,,,,CO
26,SO2,,SO2,,,,SO2
27,NH3,,NH3,,,,NH3
28,PM25,,PM25,,,,PM25
29,PMcoarse,,PMcoarse,,,,PMcoarse
30,BC,,BC,,,,BC
31,OC,,OC,,,,OC
