SPECIE NAME;MIR[1];mapping to modelling species[2];partition[2]
Ethane;0,28 ;C2H6;1
Propane;0,49 ;C3H8;1
i-Butane;1,15 ;BIGALK;1
n-Butane;1,15 ;BIGALK;1
Cyclopentane;2,39 ;BIGALK;1
i-Pentane;1,45 ;BIGALK;1
n-Pentane;1,31 ;BIGALK;1
Methylcyclopentane;2,91 ;BIGALK;1
Cyclohexane;1,25 ;BIGALK;1
2,2-Dimethylbutane;1,17 ;BIGALK;1
2,3-Dimethylbutane;0,97 ;BIGALK;1
2-Methylpentane;1,50 ;BIGALK;1
3-Methylpentane;1,80 ;BIGALK;1
n-Hexane;1,24 ;BIGALK;1
Methylcyclohexane;1,70 ;BIGALK;1
2,3-DimethylPentane;1,34 ;BIGALK;1
2,4-Dimethylpentane;1,55 ;BIGALK;1
2-Methylhexane;1,19 ;BIGALK;1
3-Methylhexane;1,61 ;BIGALK;1
n-Heptane;1,07 ;BIGALK;1
2,2,4-Trimethylpentane;1,26 ;BIGALK;1
2,3,4-Trimethylpentane;1,03 ;BIGALK;1
2-Methylheptane;1,07 ;BIGALK;1
3-Methylheptane;1,24 ;BIGALK;1
n-Octane;0,90 ;BIGALK;1
n-Nonane;0,78 ;BIGALK;1
n-Decane;0,68 ;BIGALK;1
n-Un.a.ecane;0,61 ;BIGALK;1
Ethene;9,00 ;C2H4;1
Propene;11,66 ;C3H6;1
1,3-butadiene;12,61 ;BIGENE;1
1-Butene;9,73 ;BIGENE;1
cis-2-Butene;14,24 ;BIGENE;1
trans-2-Butene;15,16 ;BIGENE;1
Isoprene;10,61 ;ISOP;1
1-Pentene;7,21 ;BIGENE;1
cis-2-Pentene;10,38 ;BIGENE;1
trans-2-Pentene;10,56 ;BIGENE;1
1-Hexene;5,49 ;BIGENE;1
Ethyne;0,95 ;C2H2;1
Benzene;0,72 ;BENZENE;1
Toluene;4,00 ;TOLUENE;1
m/p-Xylene;7,80 ;XYLENES;1
Ethylbenzene;3,04 ;XYLENES;1
o-Xylene;7,64 ;XYLENES;1
Styrene;1,73 ;XYLENES;1
1,2,3-Trimethylbenzene;11,97 ;XYLENES;1
1,2,4-Trimethylbenzene;8,87 ;XYLENES;1
1,3,5-Trimethylbenzene;11,76 ;XYLENES;1
i-Propylbenzene;2,52 ;XYLENES;1
m-Ethyltoluene;5,49 ;TOLUENE;1
n-Propylbenzene;4,44 ;XYLENES;1
o-Ethyltoluene;5,49 ;TOLUENE;1
p-Ethyltoluene;5,49 ;TOLUENE;1
m-Diethylbenzene;7,10 ;XYLENES;1
p-Diethylbenzene;4,43 ;XYLENES;1
tetrachloromethane;0,00 ;NROG;1
Chloroform;0,04 ;NROG;1
Dichloromethane;0,00 ;NROG;1
Chloromethane;0,04 ;NROG;1
Tetrachloroethylene;0,04 ;NROG;1
Vinyl chloride;0,04 ;NROG;1
Formaldehyde ;9,46 ;CH2O;1
Acetaldehyde ;4.1;CH3CHO;1
acrolein;7,54 ;GLY;1
Propionaldehyde/Propanal;#N/A;GLY;1
Butyraldehyde/n-Butanal;#N/A;GLY;1
Valeraldehyde/n-Pentanal;#N/A;GLY;1
Isovaleraldehyde ;#N/A;GLY;1
Benzaldehyde ;#N/A;GLY;1
Hexanaldehyde/n-Hexanal;#N/A;GLY;1
Acetone ;0,36 ;MEK;1
Methyl ethyl ketone/Butanone;3,88 ;MVK;1
isopropanol;0,61 ;NROG;1
ethyl acetate;0,07 ;CH3COOOH;1
;;;
;;;
;;;
